Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
smokeNav,Success,1,0,2021-05-24 10:49:24 -0500,2021-05-24 10:49:24 -0500,0:00:03
CustomerKing_pwd,Success,98,0,2020-08-13 14:29:59 -0500,2020-11-19 09:07:52 -0600,0:00:01
verifyPrice,Failure,17,17,2020-07-01 13:56:02 -0500,2020-08-26 13:31:28 -0500,0:00:00
incorta,Success,6,0,2021-03-25 11:51:13 -0500,2021-03-25 11:59:04 -0500,0:00:03
go2Cart,Success,20,0,2020-08-13 15:47:25 -0500,2020-08-26 10:26:16 -0500,0:00:03
go2Login,Success,307,25,2020-04-14 17:28:04 -0500,2020-11-19 09:07:47 -0600,0:00:02
add2Cart,Failure,30,5,2020-08-13 15:01:36 -0500,2020-11-19 08:19:26 -0600,0:00:40
searcMobile,Success,1,0,2020-10-01 09:54:46 -0500,2020-10-01 09:54:46 -0500,0:00:10
emr/Validate,Failure,8,8,2020-11-02 17:30:58 -0600,2020-11-02 17:57:43 -0600,0:00:00
callaFunction,Success,15,1,2020-05-06 22:28:08 -0500,2020-05-06 22:41:48 -0500,0:00:06
GetStockPrice-API,Success,83,13,2020-06-24 12:29:38 -0500,2021-05-13 10:59:59 -0500,0:00:02
callaFunctionyou,Success,2,0,2020-06-26 15:42:42 -0500,2020-06-26 15:43:26 -0500,0:00:32
emr/Validate2,Failure,8,8,2020-11-02 17:17:05 -0600,2020-11-02 17:27:03 -0600,0:00:00
emr/noXY,Success,25,1,2020-11-16 09:48:46 -0600,2020-11-16 10:17:12 -0600,0:00:07
checkout,Success,24,7,2020-08-13 15:32:01 -0500,2020-08-26 10:26:27 -0500,0:00:03
jsonHeader-API,Success,4,1,2020-10-14 11:33:41 -0500,2020-10-14 11:58:23 -0500,0:00:01
LaunchMobileApp,Success,78,5,2020-08-13 12:46:25 -0500,2020-10-28 12:01:17 -0500,0:00:10
Utilities,Success,3,0,2020-04-14 12:58:41 -0500,2021-03-09 08:37:17 -0600,0:00:00
customerIsKing_username,Success,109,4,2020-08-13 14:26:14 -0500,2020-11-19 09:07:50 -0600,0:00:03
GherkinDesktop-Feature,Failure,6,2,2020-06-08 16:36:51 -0500,2020-10-14 12:54:43 -0500,0:00:10
checkout_flow,Success,14,0,2020-08-13 15:47:29 -0500,2020-08-26 10:26:47 -0500,0:00:14
emr/lauchEMR,Success,17,2,2020-11-02 17:11:46 -0600,2021-02-10 14:31:13 -0600,0:00:03
sql,Success,2,0,2021-01-11 14:05:29 -0600,2021-02-23 10:37:59 -0600,0:00:05
emr/zzzEMRLogin,Success,16,5,2020-11-02 17:14:53 -0600,2020-11-02 17:57:30 -0600,0:00:10
LoadDataFromExcel,Success,40,1,2020-06-26 14:31:06 -0500,2021-04-06 09:49:28 -0500,0:00:00
pagination-API,Success,8,0,2020-09-29 11:06:43 -0500,2020-10-12 15:11:12 -0500,0:00:01
API_model,Success,12,7,2021-05-11 19:00:05 -0500,2021-05-11 19:06:51 -0500,0:00:01
virtu,Failure,3,1,2020-10-28 12:49:08 -0500,2020-10-28 12:53:02 -0500,0:00:03
Login2Commerce,Success,1,0,2020-06-08 12:13:51 -0500,2020-06-08 12:13:51 -0500,0:00:01
NavDesktop,Success,48,12,2020-08-13 12:59:02 -0500,2020-08-26 10:25:05 -0500,0:00:08
launchPerf,Success,1,0,2021-03-09 08:39:49 -0600,2021-03-09 08:39:49 -0600,0:00:05
navLaptops,Failure,139,101,2020-06-08 09:05:12 -0500,2020-11-19 09:08:52 -0600,0:00:01
